87	0	0	0	0	1	0	0	0	1	0	0	0
89	0	0	0	0	1	0	0	0	0	0	0	0
90	0	0	2	2	0	0	0	0	0	0	0	0
91	1	0	2	1	0	0	1	0	0	0	0	0
99	0	1	0	1	1	1	0	0	0	0	0	0
101	0	0	1	0	0	0	0	0	0	0	0	0
103	2	0	2	1	1	1	1	0	0	1	0	1
105	0	0	1	0	0	0	0	0	0	0	0	0
106	0	0	1	0	0	0	0	0	0	1	0	2
107	0	0	0	0	0	0	0	0	0	0	0	0
108	3	0	0	0	0	1	0	0	0	0	0	0
109	1	0	2	2	0	1	0	0	1	2	0	0
110	0	0	0	0	0	0	0	0	0	0	0	0
111	0	0	0	0	0	0	0	0	0	0	0	1
112	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	0	0	0	0	1	0	0	0	0	0
115	0	0	1	0	0	0	0	0	0	0	0	0
117	0	0	1	0	0	0	0	0	0	0	0	0
118	0	1	0	0	0	0	0	0	0	0	0	0
119	0	0	0	0	0	0	0	0	0	0	0	0
120	0	0	0	1	0	0	0	0	0	0	0	0
121	0	0	1	0	0	0	0	0	0	0	0	0
122	0	0	2	0	0	0	0	0	0	0	0	0
123	0	0	1	1	0	1	0	0	0	0	0	1
124	0	0	1	0	0	0	0	0	0	0	0	0
126	0	0	0	0	0	0	0	0	0	0	0	0
127	0	0	1	1	1	0	0	0	0	0	0	0
129	0	0	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	0	0	0	0	0	0
134	0	0	0	0	0	0	0	0	0	0	0	0
138	0	0	0	0	0	1	0	0	0	0	0	0
139	0	0	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	0	0	0	0	0
142	0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	1	0	0	0	0
146	0	0	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0	0	0
149	0	0	0	0	0	0	0	0	0	0	0	0
152	0	0	0	0	0	0	0	0	0	0	0	0
153	0	0	1	0	0	0	0	0	0	0	0	0
155	0	0	0	0	0	0	0	0	0	0	0	0
156	0	0	0	0	0	0	0	0	0	0	0	0
157	0	1	3	0	0	0	0	0	0	0	0	0
159	0	0	0	0	0	0	0	0	0	0	0	0
160	0	0	0	0	0	0	0	0	0	0	0	0
161	0	0	1	0	0	1	0	0	0	0	0	0
163	1	0	0	0	0	0	0	0	1	0	0	0
164	0	0	1	1	0	1	0	0	0	0	0	1
165	0	0	0	0	0	0	0	0	0	0	0	0
166	0	0	0	0	0	0	0	0	0	0	0	0
167	0	0	0	1	0	0	0	0	0	0	0	0
168	0	0	1	0	1	0	0	0	0	0	0	0
169	1	0	2	1	0	0	0	0	1	0	0	0
170	0	0	0	0	0	0	0	0	0	0	0	0
172	0	0	0	0	0	0	0	0	0	0	0	0
174	0	0	0	0	0	0	0	0	0	0	0	0
175	0	0	0	2	0	0	0	0	0	0	0	0
176	0	0	1	0	0	0	0	0	1	0	0	0
177	0	0	0	0	0	1	0	0	0	0	0	0
179	0	0	1	0	0	0	0	0	0	0	0	0
